iteracja,id_czastki,x,y,fitness
9,17,6.7261,1.2164,26.4000
9,18,6.4047,1.2164,26.4000
9,19,6.8200,1.2190,26.4000
10,0,6.2125,1.2312,26.4000
10,1,6.6539,0.9827,25.2000
10,2,6.4602,1.3238,26.4000
10,3,6.9779,1.1498,26.4000
10,4,6.1346,1.2060,26.4000
10,5,6.6575,1.2319,26.4000
10,6,6.9459,1.2486,26.4000
10,7,6.7942,1.1690,26.4000
10,8,6.6227,1.1735,26.4000
10,9,6.8393,1.2885,26.4000
10,10,6.4938,1.1635,26.4000
10,11,6.8293,1.2071,26.4000
10,12,6.5906,1.2125,26.4000
10,13,6.4981,1.5171,26.4000
10,14,6.4390,1.2846,26.4000
10,15,6.5736,1.4556,26.4000
10,16,6.7840,1.1622,26.4000
10,17,6.6426,1.2270,26.4000
10,18,6.5235,1.5308,26.4000
10,19,6.4305,1.2156,26.4000
11,0,6.4075,1.2615,26.4000
11,1,6.4333,0.8382,25.2000
11,2,6.4147,1.2585,26.4000
11,3,6.3240,1.7765,26.4000
11,4,6.2816,1.2324,26.4000
11,5,6.7105,1.2305,26.4000
11,6,6.7782,1.2664,26.4000
11,7,6.8323,1.2300,26.4000
11,8,6.7351,0.9630,25.2000
11,9,6.8930,1.1278,26.4000
11,10,6.6346,1.1770,26.4000
11,11,6.7002,1.1887,26.4000
11,12,6.6540,1.2363,26.4000
11,13,6.2957,1.4348,26.4000
11,14,6.2910,1.1327,26.4000
11,15,6.6679,1.5312,26.4000
11,16,6.6942,1.1251,26.4000
11,17,6.6319,1.2259,26.4000
11,18,6.3213,1.6477,26.4000
11,19,6.2938,1.2063,26.4000
12,0,6.6074,1.2648,26.4000
12,1,6.2350,1.0807,26.4000
12,2,6.5335,1.2202,26.4000
12,3,6.6026,1.4494,26.4000
12,4,6.5936,1.2250,26.4000
12,5,6.7539,1.2338,26.4000
12,6,6.6937,1.2527,26.4000
12,7,6.7842,1.1564,26.4000
12,8,6.6842,1.0874,26.4000
12,9,6.8554,1.1321,26.4000
12,10,6.7242,1.1996,26.4000
12,11,6.7720,1.2225,26.4000
12,12,6.6690,1.2235,26.4000
12,13,6.9223,1.3232,26.4000
12,14,6.4685,1.0476,26.4000
12,15,6.6187,1.3359,26.4000
12,16,6.6939,1.1108,26.4000
12,17,6.6667,1.2243,26.4000
12,18,6.6031,1.3653,26.4000
12,19,6.4693,1.1809,26.4000
13,0,6.6864,1.2475,26.4000
13,1,6.6048,1.1898,26.4000
13,2,6.6300,1.2539,26.4000
13,3,6.8478,1.0532,26.4000
13,4,6.6280,1.2145,26.4000
13,5,6.7532,1.2345,26.4000
13,6,6.7635,1.2485,26.4000
13,7,6.7343,1.1251,26.4000
13,8,6.5558,1.1843,26.4000
13,9,6.8190,1.1494,26.4000
13,10,6.6647,1.2238,26.4000
13,11,6.8157,1.2336,26.4000
13,12,6.5930,1.1931,26.4000
13,13,7.1541,1.3423,-1000000000.0000
13,14,6.7242,1.0553,26.4000
13,15,6.4542,1.3895,26.4000
13,16,6.7461,1.1668,26.4000
13,17,6.7291,1.2276,26.4000
13,18,6.5598,1.2578,26.4000
13,19,6.7451,1.2182,26.4000
14,0,6.3611,1.2413,26.4000
14,1,6.6409,1.1171,26.4000
14,2,6.6472,1.2579,26.4000
14,3,6.8654,0.9361,25.2000
14,4,6.1319,1.2138,26.4000
14,5,6.7449,1.2336,26.4000
14,6,6.8494,1.2669,26.4000
14,7,6.7302,1.1537,26.4000
14,8,6.6371,1.3547,26.4000
14,9,6.7882,1.2138,26.4000
14,10,6.5473,1.2183,26.4000
14,11,6.8211,1.2078,26.4000
14,12,6.6161,1.1885,26.4000
